FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Confidence in Policing,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Policing Role
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.36,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.86,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.99,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,30.98,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,29.9,Not very or not at all confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.4,Very or fairly confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.74,Very or fairly confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,18.41,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.94,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.91,Not very or not at all confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.64,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.1,Very or fairly confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,19.1,Not very or not at all confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.97,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,60.62,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.91,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,60.22,Very or fairly confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,21.81,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.97,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.69,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,60.36,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.03,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,16.84,Not very or not at all confident,All,All,All,No limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.17,Not very or not at all confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.26,Not very or not at all confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,24.75,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,22.71,Not very or not at all confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.71,Very or fairly confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,24.68,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.28,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.78,Not very or not at all confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.01,Not very or not at all confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,16.97,Not very or not at all confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.17,Not very or not at all confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.31,Not very or not at all confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.01,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.38,Very or fairly confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.7,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,72.69,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.54,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.52,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,67.8,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.88,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,73.35,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.51,Very or fairly confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.99,Very or fairly confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.24,Very or fairly confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.34,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,61.73,Very or fairly confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,60.17,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,65,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,16.42,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.09,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,51.32,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,19.79,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,65,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.53,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.73,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.15,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.35,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.99,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,44.38,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,58.25,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,57.67,Very or fairly confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.47,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.49,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,66.62,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.65,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,39.56,Not very or not at all confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.39,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,13.14,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,47.07,Very or fairly confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,61.37,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.86,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.85,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.29,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,22.19,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,52.37,Very or fairly confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,63.57,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,25.82,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.54,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.99,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,31.19,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,69.02,Very or fairly confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.84,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,34.68,Not very or not at all confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,70.27,Very or fairly confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.44,Very or fairly confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,19.36,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.84,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.91,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,73.37,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.33,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.71,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.29,Very or fairly confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,19.31,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,23.25,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,19.91,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,26.01,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.08,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,51.5,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,30.88,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.46,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,63.31,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.74,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.42,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.75,Not very or not at all confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,69.92,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,36.73,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,57.52,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.65,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.74,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.05,Not very or not at all confident,Owned Outright,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,21.47,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,31,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,65.52,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.9,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,26.67,Not very or not at all confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,58.64,Very or fairly confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.95,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.87,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,23.49,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.83,Not very or not at all confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.11,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.76,Very or fairly confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.76,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,18.96,Not very or not at all confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.05,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,56.49,Very or fairly confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,19.06,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.33,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.78,Very or fairly confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,25.98,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,63.83,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,62.69,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,26.3,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.5,Very or fairly confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.85,Not very or not at all confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,56.67,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.33,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,21.48,Not very or not at all confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,24.07,Not very or not at all confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.1,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,62.09,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.82,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.23,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.57,Not very or not at all confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.78,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.87,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,30.62,Not very or not at all confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,59.07,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.33,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,63.35,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,51.65,Very or fairly confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.26,Not very or not at all confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.46,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.34,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,29.84,Not very or not at all confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.63,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.78,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.26,Very or fairly confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,26.86,Not very or not at all confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,27.98,Not very or not at all confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,56.2,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,67.8,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,20.66,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,59.71,Very or fairly confident,All,All,All,No limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.58,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.25,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.32,Not very or not at all confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.06,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.9,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.69,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.28,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
